date,mark,composite_q1,composite_q2,composite_q3,composite_q4,composite_q5,grp_quality_q1,grp_quality_q2,grp_quality_q3,grp_quality_q4,grp_quality_q5,grp_growth_q1,grp_growth_q2,grp_growth_q3,grp_growth_q4,grp_growth_q5,grp_value_q1,grp_value_q2,grp_value_q3,grp_value_q4,grp_value_q5,grp_momentum_q1,grp_momentum_q2,grp_momentum_q3,grp_momentum_q4,grp_momentum_q5,grp_risk_q1,grp_risk_q2,grp_risk_q3,grp_risk_q4,grp_risk_q5,loo_quality_q1,loo_quality_q2,loo_quality_q3,loo_quality_q4,loo_quality_q5,loo_growth_q1,loo_growth_q2,loo_growth_q3,loo_growth_q4,loo_growth_q5,loo_value_q1,loo_value_q2,loo_value_q3,loo_value_q4,loo_value_q5,loo_momentum_q1,loo_momentum_q2,loo_momentum_q3,loo_momentum_q4,loo_momentum_q5,loo_risk_q1,loo_risk_q2,loo_risk_q3,loo_risk_q4,loo_risk_q5
2019-02-15,open,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0,500000.0
2019-02-15,close,497635.1852594803,494508.79690645,497425.0295427456,494853.35221365525,493940.4051644834,497981.9818187485,495463.8731436055,497365.06925219484,495471.4700434356,492052.6754076295,495282.7026836053,494634.8375153337,494437.48627872847,499546.2764391585,494508.8372756693,495883.5755050987,498161.0106210115,494685.1793711545,493811.39426203945,495781.17094537895,493851.6554661992,496422.92836320464,495839.39983227546,495881.2831776884,496407.27668013895,496943.7155366147,495767.59277329437,494466.6291124053,497395.45983391633,493777.301061563,497091.0005511634,496210.69263784983,494690.3009736583,493902.9979094773,496443.14486523846,497635.1852594803,494508.79690645,497425.0295427456,494853.35221365525,493940.4051644834,497449.66702105064,496588.42594122014,493956.3401060086,493365.7533828772,496962.28240594873,498269.5447743033,497217.12881315127,494362.0664291008,495370.76143554016,493072.1465406441,497351.8691555212,494620.0492808934,497325.6955371639,493101.7429512361,495967.07309241523
2019-02-18,close,494134.9266588855,489841.8229661703,489211.207612797,487568.5388468929,490411.4645519102,491785.635813315,488419.76532435167,493025.26970391726,490274.12840310496,487743.4028491456,491436.4756336364,490577.4373736779,487195.31803498644,492567.6477562343,489432.84431934933,488608.78324887605,492207.0215169771,489402.82612491265,489529.3336949289,491487.25019690173,488188.5456659237,491136.84397220035,488700.3601203054,490447.50232830783,492793.6736560235,493541.8095421502,492427.68934300734,490711.77423153113,489974.71546172816,484469.5731378113,495242.0988153825,489441.3583271035,487342.12569063465,487150.14091606194,491977.20055731514,494134.9266588855,489841.8229661703,489211.207612797,487568.5388468929,490411.4645519102,494385.8068405059,491532.83849587134,486098.6581360876,486025.0805619265,493084.2596722364,493351.5381742708,491572.11928504,487780.8544849752,492091.0053480215,486352.2963691513,488720.8652241872,490594.5553757508,488930.8667527924,490817.9498500062,492202.9006472197
2019-02-19,close,494174.5971837653,492034.5069519134,491750.5220939037,491132.7631973389,491955.5940122266,491163.85582491226,490320.82060663775,495836.52447880775,493883.9545289773,489943.3477381986,492904.04520225315,490983.2241827707,489636.1474454024,493546.612805949,494027.35454214824,493371.5328930047,495134.8658892121,490653.8975092512,490985.61712859967,490853.19140957936,487221.6683632222,494270.46189121733,490433.9055096711,493211.2815567744,496011.0272646721,495486.2795779706,492428.0442149567,493331.9927434273,494676.0195842095,485089.3660492806,495539.5330486167,492857.976674294,490287.4238101272,488722.97851500596,493593.50957009895,494174.5971837653,492034.5069519134,491750.5220939037,491132.7631973389,491955.5940122266,495169.554657916,494016.569862274,487011.4006329034,488512.0010495171,496275.1163772923,495514.63724199793,494598.9067700607,489330.29548995744,494129.73096073803,487391.3397875346,489170.25090091553,494053.50482955144,491520.6722420618,493598.9747906887,492768.09872710495
2019-02-20,close,497101.02295951115,497613.83400313085,495176.92434232903,498456.73525090737,498831.28994277964,494474.0408286069,496557.9246086854,501784.2647100252,497888.5432031207,496553.39254237607,499294.6868397533,495730.89175611635,496130.37510060566,496807.46986750886,499209.77183609456,503004.44541991514,500598.44743048766,495272.8745760007,493243.6848102942,494871.24711541226,491068.2179868493,500005.64569518174,493333.55559004826,499138.4591993163,503711.3959694032,498605.5285492957,495039.2583251668,498483.08866313705,501178.0711354379,493896.62727430527,498044.6050209744,498842.88745619316,494814.5450666062,494690.1775595981,500741.3651077432,497101.02295951115,497613.83400313085,495176.92434232903,498456.73525090737,498831.28994277964,496606.07559120917,497961.95204381994,493065.5519116163,494910.00413696107,504639.34684329864,499875.1343322313,498382.3166323604,494857.9780284183,500746.8560115021,493242.14715367917,494225.8322838843,498723.60518977355,496516.3181544129,501490.78025002714,496260.8327373469
2019-02-21,close,500105.3049050515,501796.33895018784,498789.7387965159,509394.6311013861,510012.03346641577,497932.24866749666,503067.46694766247,508618.1443070471,504699.2010811761,505800.1761787297,508074.0077870643,499552.5093118111,503507.58688623767,502534.1186804945,506308.01874025527,508832.6665756075,507543.87576040515,499925.31217039673,504364.1207556582,499124.09539406904,496018.7056976534,503642.007962367,500756.1177107272,506370.3467660054,513358.54844865995,500921.79294636106,499026.06785445317,504081.87833247596,511846.63139086857,504263.24654762034,500532.06392088596,504237.06087228033,497951.52034749486,505257.9445539523,512058.4472922218,500105.3049050515,501796.33895018784,498789.7387965159,509394.6311013861,510012.03346641577,498646.2093379673,502070.6116717051,499797.7924405545,503844.95741399657,515763.68535204796,502432.4854519236,503030.4124706608,500174.4790393838,510299.78358628496,504085.1153081689,499357.6752607268,503844.9767225952,502603.12374625047,507502.2763803919,506762.314085591
2019-02-22,close,502572.83719917317,507283.74751496624,501017.51908937487,518380.8207712616,516972.11530349776,500277.2817859311,508061.0545677713,512638.00849566964,511424.1869000861,513858.81128542055,517970.67821424804,504432.1039122192,505933.11562210275,506094.3429747789,511529.8587844498,519068.4189395926,514008.1733112421,505849.56571891723,506260.1292788554,500546.70991611964,497671.6425180625,505643.32856303215,506393.74548429775,516195.11068241904,520462.3958992505,503291.8533333576,502286.9191624268,510899.61399799003,519035.2733265415,510804.39733919944,504251.4737530042,508123.8218218365,502289.4706812553,512795.51130259235,518713.1727268045,502572.83719917317,507283.74751496624,501017.51908937487,518380.8207712616,516972.11530349776,499884.11624646076,504231.18582672684,505461.7378759857,511309.19787753135,525462.9570013767,508590.0729706599,506730.0793310875,506493.6568536411,515278.70309680584,509018.2815071939,503041.23567891185,509734.3897956245,508428.76067073963,511926.9431583053,513033.6033244712
2019-02-25,close,507381.7762510232,511020.29989300674,504942.6489898699,526511.2504105445,520454.09585980466,504783.2463892178,514750.3983817881,513477.1659319095,517249.2637996797,520025.9209734203,523275.44310718984,507228.2734145337,508767.81503139646,513547.2638777704,517233.79426319496,524095.4658096287,521469.3592049505,510878.59606381325,509832.91417955654,503455.8053192671,503792.72809813096,509472.613190917,511452.72991063644,518546.26827416307,527155.0241613587,506769.6919422007,504599.4214488403,516703.3608621492,526089.8769010986,516297.35775534314,508555.36962907505,513012.9743803462,505827.6092492681,520481.1209808675,522365.6297633011,507381.7762510232,511020.29989300674,504942.6489898699,526511.2504105445,520454.09585980466,503500.77848474676,509607.28578329826,509747.81870770716,516954.0188056156,530612.8081734341,513340.96614717337,512793.33106513385,510550.2297238833,518278.8425564672,515182.18656971294,508209.2675262499,516187.61886748375,514085.16717619903,516250.57078307646,515449.897896991
2019-02-26,close,506552.1755143711,508107.9832947334,501647.2021739706,523228.60226035165,516951.63302634994,502940.8397341567,511833.3624245136,509693.3538359171,514859.6935152733,517157.92030566983,518936.1694296458,503181.31942930707,506820.6670796123,512240.3397446619,515150.4339897443,516356.956527417,518712.9758166237,508950.0474454248,509450.979433956,502582.3865456118,500997.95515822136,508737.46698850126,509166.7178450762,513925.6905205322,523764.54738856014,507498.9706550517,504060.84781859786,512487.43402916536,523553.33073939855,508952.97771555156,507659.5868815314,509454.0301524889,504447.8364526815,516291.44193456037,518582.49960968643,506552.1755143711,508107.9832947334,501647.2021739706,523228.60226035165,516951.63302634994,503519.2028234823,509218.4049911921,505757.4900052541,513791.682782024,524241.7210081312,511783.25619658135,509814.3497985599,507565.74160742766,515540.84885033144,511635.7945575989,504435.8818639195,512772.47847903235,510023.59885908314,515430.423102563,513770.99691126694
2019-02-27,close,507358.9799554617,509656.3279532404,502945.2562827822,521941.7108386305,520162.45844527055,504754.87895158405,512389.37906222773,510479.99331353756,515986.86725405604,518450.8712747224,519187.68039498857,502948.8917461062,508314.9140417679,516981.42426582065,514522.8599579278,513642.68953541445,520313.81396673765,511112.98407276353,511537.58355764026,505097.21137275605,501321.72809475026,510878.0186707823,510585.89878096455,514372.6400949037,525008.9065817116,509144.2320204623,506218.9446619501,514160.7055738847,523815.85500202316,508760.14794528414,508044.5722076472,511883.4503785447,504318.8717895355,516871.7947859115,520884.071661034,507358.9799554617,509656.3279532404,502945.2562827822,521941.7108386305,520162.45844527055,505104.94196250214,510988.1115338748,506688.28130965785,514579.44393567846,524723.5771679771,513145.6745910226,510991.81371000275,507541.0875795252,516765.3393196409,513469.28252216586,505474.6734760166,511060.1936765253,511927.6573269166,515059.6350161699,518552.796123505
